date,symbol,Adj Close,Volume,return,Year,Quarter,Quarter_Label
2018-01-02,AAPL,40.61588668823242,102223600,-0.0001743179504942,2018,Q1,Q12018
2018-01-03,AAPL,40.60880661010742,118071600,0.0046451245637182,2018,Q1,Q12018
2018-01-04,AAPL,40.79743957519531,89738400,0.0113856224013082,2018,Q1,Q12018
2018-01-05,AAPL,41.26194381713867,94640000,-0.0037145783076725,2018,Q1,Q12018
2018-01-08,AAPL,41.108673095703125,82271200,-0.0001148807504404,2018,Q1,Q12018
2018-01-09,AAPL,41.10395050048828,86336000,-0.0002291382563998,2018,Q1,Q12018
2018-01-10,AAPL,41.09453201293945,95839600,0.0056801066772118,2018,Q1,Q12018
2018-01-11,AAPL,41.32795333862305,74670800,0.0103261298473538,2018,Q1,Q12018
2018-01-12,AAPL,41.75471115112305,101672400,-0.0050820652076098,2018,Q1,Q12018
2018-01-16,AAPL,41.542510986328125,118263600,0.0165167142327173,2018,Q1,Q12018
2018-01-17,AAPL,42.22865676879883,137547200,0.0008929548168477,2018,Q1,Q12018
2018-01-18,AAPL,42.26636505126953,124773600,-0.0044626861280191,2018,Q1,Q12018
2018-01-19,AAPL,42.07774353027344,129700400,-0.0081810062129955,2018,Q1,Q12018
2018-01-22,AAPL,41.73350524902344,108434400,0.00022595589765,2018,Q1,Q12018
2018-01-23,AAPL,41.74293518066406,130756400,-0.0159286681666066,2018,Q1,Q12018
2018-01-24,AAPL,41.07802581787109,204420400,-0.0178511895685489,2018,Q1,Q12018
2018-01-25,AAPL,40.34473419189453,166116000,0.0023377171044607,2018,Q1,Q12018
2018-01-26,AAPL,40.43904876708984,156572000,-0.0206983324173694,2018,Q1,Q12018
2018-01-29,AAPL,39.602027893066406,202561600,-0.0058942724097653,2018,Q1,Q12018
2018-01-30,AAPL,39.36860275268555,184192800,0.0027548769927219,2018,Q1,Q12018
2018-01-31,AAPL,39.47705841064453,129915600,0.0020904127427339,2018,Q1,Q12018
2018-02-01,AAPL,39.5595817565918,188923200,-0.0433900365726878,2018,Q1,Q12018
2018-02-02,AAPL,37.84309005737305,346375200,-0.0249842268495058,2018,Q1,Q12018
2018-02-05,AAPL,36.89760971069336,290954000,0.0417917336048112,2018,Q1,Q12018
2018-02-06,AAPL,38.43962478637695,272975200,-0.0214074683252492,2018,Q1,Q12018
2018-02-07,AAPL,37.616729736328125,206434400,-0.0275162762397322,2018,Q1,Q12018
2018-02-08,AAPL,36.58165740966797,217562000,0.0122311922985398,2018,Q1,Q12018
2018-02-09,AAPL,37.02909469604492,282690400,0.0402787485879969,2018,Q1,Q12018
2018-02-12,AAPL,38.52058029174805,243278000,0.0100175887376621,2018,Q1,Q12018
