date,portfolio_value
2023-01-04 00:00:00+00:00,100000
2023-01-05 00:00:00+00:00,100000
2023-01-06 00:00:00+00:00,100000
2023-01-09 00:00:00+00:00,100000
2023-01-10 00:00:00+00:00,100000
2023-01-11 00:00:00+00:00,100000
2023-01-12 00:00:00+00:00,100000
2023-01-13 00:00:00+00:00,100725.56
2023-01-17 00:00:00+00:00,101510.95999999999
2023-01-18 00:00:00+00:00,100905.07999999999
2023-01-19 00:00:00+00:00,101496.0
2023-01-20 00:00:00+00:00,103246.31999999998
2023-01-23 00:00:00+00:00,105610.0
2023-01-24 00:00:00+00:00,105729.68
2023-01-25 00:00:00+00:00,105729.68
2023-01-26 00:00:00+00:00,105729.68
2023-01-27 00:00:00+00:00,105729.68
2023-01-30 00:00:00+00:00,104785.39999999998
2023-01-31 00:00:00+00:00,105305.11999999998
2023-02-01 00:00:00+00:00,106849.63999999998
2023-02-02 00:00:00+00:00,106791.07999999999
2023-02-03 00:00:00+00:00,106476.31999999998
2023-02-06 00:00:00+00:00,105703.75999999998
2023-02-07 00:00:00+00:00,107346.31999999998
2023-02-08 00:00:00+00:00,106037.83999999997
2023-02-09 00:00:00+00:00,105126.07999999997
2023-02-10 00:00:00+00:00,105139.99999999999
2023-02-13 00:00:00+00:00,107005.27999999997
2023-02-14 00:00:00+00:00,106977.43999999997
2023-02-15 00:00:00+00:00,106977.43999999997
2023-02-16 00:00:00+00:00,106977.43999999997
2023-02-17 00:00:00+00:00,106977.43999999997
2023-02-21 00:00:00+00:00,105601.97999999998
2023-02-22 00:00:00+00:00,105850.12999999998
2023-02-23 00:00:00+00:00,105715.41999999997
2023-02-24 00:00:00+00:00,105545.25999999997
2023-02-27 00:00:00+00:00,105545.25999999997
2023-02-28 00:00:00+00:00,105545.25999999997
2023-03-01 00:00:00+00:00,103587.25999999997
2023-03-02 00:00:00+00:00,103622.85999999997
2023-03-03 00:00:00+00:00,107659.89999999997
2023-03-06 00:00:00+00:00,109653.49999999997
2023-03-07 00:00:00+00:00,108122.69999999997
2023-03-08 00:00:00+00:00,108094.21999999997
2023-03-09 00:00:00+00:00,108094.21999999997
2023-03-10 00:00:00+00:00,108094.21999999997
2023-03-13 00:00:00+00:00,108273.46999999997
2023-03-14 00:00:00+00:00,109685.95999999998
2023-03-15 00:00:00+00:00,109614.25999999995
2023-03-16 00:00:00+00:00,111894.31999999996
2023-03-17 00:00:00+00:00,110983.72999999998
2023-03-20 00:00:00+00:00,113005.66999999997
2023-03-21 00:00:00+00:00,113077.36999999997
2023-03-22 00:00:00+00:00,113077.36999999997
2023-03-23 00:00:00+00:00,113077.36999999997
2023-03-24 00:00:00+00:00,113537.56999999995
2023-03-27 00:00:00+00:00,112227.76999999996
2023-03-28 00:00:00+00:00,112015.36999999997
2023-03-29 00:00:00+00:00,113408.15999999996
2023-03-30 00:00:00+00:00,114850.43999999996
2023-03-31 00:00:00+00:00,116540.16999999997
2023-04-03 00:00:00+00:00,117381.49999999997
2023-04-04 00:00:00+00:00,117218.88999999996
2023-04-05 00:00:00+00:00,115663.48999999996
2023-04-06 00:00:00+00:00,116356.34999999995
2023-04-10 00:00:00+00:00,114680.75999999995
2023-04-11 00:00:00+00:00,113818.21999999994
2023-04-12 00:00:00+00:00,112955.67999999995
2023-04-13 00:00:00+00:00,116907.80999999995
2023-04-14 00:00:00+00:00,116632.07999999996
2023-04-17 00:00:00+00:00,116752.26999999996
2023-04-18 00:00:00+00:00,117671.36999999997
2023-04-19 00:00:00+00:00,118236.96999999994
2023-04-20 00:00:00+00:00,118060.21999999994
2023-04-21 00:00:00+00:00,116617.93999999996
2023-04-24 00:00:00+00:00,116844.17999999995
2023-04-25 00:00:00+00:00,116158.38999999996
2023-04-26 00:00:00+00:00,115932.14999999995
2023-04-27 00:00:00+00:00,118604.60999999996
2023-04-28 00:00:00+00:00,119841.85999999996
2023-05-01 00:00:00+00:00,119771.15999999996
2023-05-02 00:00:00+00:00,119127.78999999996
2023-05-03 00:00:00+00:00,117119.90999999996
2023-05-04 00:00:00+00:00,120138.79999999994
2023-05-05 00:00:00+00:00,119919.62999999996
2023-05-08 00:00:00+00:00,119919.62999999996
2023-05-09 00:00:00+00:00,119919.62999999996
2023-05-10 00:00:00+00:00,119919.62999999996
2023-05-11 00:00:00+00:00,119919.62999999996
2023-05-12 00:00:00+00:00,119919.62999999996
2023-05-15 00:00:00+00:00,119172.26999999995
2023-05-16 00:00:00+00:00,119345.26999999995
2023-05-17 00:00:00+00:00,119670.50999999995
2023-05-18 00:00:00+00:00,121864.14999999997
2023-05-19 00:00:00+00:00,121324.38999999996
2023-05-22 00:00:00+00:00,121054.50999999995
2023-05-23 00:00:00+00:00,119179.18999999996
2023-05-24 00:00:00+00:00,118487.18999999996
2023-05-25 00:00:00+00:00,119753.54999999996
2023-05-26 00:00:00+00:00,121663.46999999997
2023-05-30 00:00:00+00:00,123109.74999999994
2023-05-31 00:00:00+00:00,123178.94999999997
2023-06-01 00:00:00+00:00,123199.70999999996
2023-06-02 00:00:00+00:00,123199.70999999996
2023-06-05 00:00:00+00:00,123199.70999999996
2023-06-06 00:00:00+00:00,123199.70999999996
2023-06-07 00:00:00+00:00,123199.70999999996
2023-06-08 00:00:00+00:00,123199.70999999996
2023-06-09 00:00:00+00:00,123199.70999999996
2023-06-12 00:00:00+00:00,123199.70999999996
2023-06-13 00:00:00+00:00,123199.70999999996
2023-06-14 00:00:00+00:00,123199.70999999996
2023-06-15 00:00:00+00:00,123199.70999999996
2023-06-16 00:00:00+00:00,123199.70999999996
2023-06-20 00:00:00+00:00,123199.70999999996
2023-06-21 00:00:00+00:00,123199.70999999996
2023-06-22 00:00:00+00:00,123199.70999999996
2023-06-23 00:00:00+00:00,123199.70999999996
2023-06-26 00:00:00+00:00,123199.70999999996
2023-06-27 00:00:00+00:00,123199.70999999996
2023-06-28 00:00:00+00:00,124326.30999999995
2023-06-29 00:00:00+00:00,124719.30999999998
2023-06-30 00:00:00+00:00,124850.30999999997
2023-07-03 00:00:00+00:00,124850.30999999997
2023-07-05 00:00:00+00:00,124850.30999999997
2023-07-06 00:00:00+00:00,124850.30999999997
2023-07-07 00:00:00+00:00,124850.30999999997
2023-07-10 00:00:00+00:00,124850.30999999997
2023-07-11 00:00:00+00:00,124453.70999999996
2023-07-12 00:00:00+00:00,125610.45999999996
2023-07-13 00:00:00+00:00,125841.80999999997
2023-07-14 00:00:00+00:00,126126.03999999996
2023-07-17 00:00:00+00:00,128280.89999999997
2023-07-18 00:00:00+00:00,127890.90999999997
2023-07-19 00:00:00+00:00,128109.03999999996
2023-07-20 00:00:00+00:00,127619.89999999997
2023-07-21 00:00:00+00:00,127871.07999999997
2023-07-24 00:00:00+00:00,127871.07999999997
2023-07-25 00:00:00+00:00,127871.07999999997
2023-07-26 00:00:00+00:00,128808.27999999996
2023-07-27 00:00:00+00:00,127785.27999999997
2023-07-28 00:00:00+00:00,129448.47999999997
2023-07-31 00:00:00+00:00,129712.47999999997
2023-08-01 00:00:00+00:00,128940.27999999997
2023-08-02 00:00:00+00:00,127389.27999999998
